From,To
Main-Gate,A-Block
Main-Gate,Gazebo
A-Block,Main-Gate
A-Block,Gazebo
A-Block,AB-1
A-Block,North-Square
North-Square,A-Block
North-Square,AB-1
MG-Auditorium,Gazebo
AB-1,A-Block
AB-1,AB-3
AB-1,North-Square
AB-1,B-Block
AB-1,AB-2
AB-3,AB-1
Gazebo,Main-Gate
Gazebo,A-Block
Gazebo,MG-Auditorium
Gazebo,Delta-Block
Delta-Block,Gazebo
Delta-Block,AB-2
Delta-Block,Health-Center
Delta-Block,B-Block
AB-2,AB-1
AB-2,B-Block
AB-2,Delta-Block
AB-2,C-Block
Health-Center,Delta-Block
Health-Center,B-Block
B-Block,Health-Center
B-Block,Delta-Block
B-Block,AB-2
B-Block,C-Block
B-Block,AB-1
C-Block,AB-2
C-Block,B-Block
